15 20                                     
NORMAL_LEVEL                                      
CRYSTAL                                      
                                      
read_board                                      
b b b b b b b b b b b b b b b b b b b b                   
b sv l sv ` sv l sv b sv ` ` ` sv b ec ` ` sv b                   
b 2g 2g 2g 2g 2g 2g 2g b 1g 1g 1g 1g 1g b b b b 3g b                   
b 3 3 3 3 3 3 3 b 2 2 2 2 2 b 1 sv 1 ` b                   
b 3 3 3 3 3 3 3 b 2 2 2 2 2 b 1 1 1 ` b                   
b 3 3 3 3 3 3 3 b 2 2 2 2 2 b 1 1 1 ` b                   
b 3 3 3 3 3 3 3 c 2 2 2 2 2 b 1 1 1 ` b                   
b 3 3 3 3 3 3 3 b 2 2 2 2 2 b 1 1 1 ` b                   
b 3 3 3 3 3 3 3 b 2 2 2 2 2 c 1 1 1 ` b                   
b 3 3 3 3 3 3 3 b 2 2 2 2 2 b 1 1 1 ` b                   
b 3 3 3 3 3 3 3 b 2 2 2 2 2 b 1 1 1 ` b                   
b 3 3 3 3 3 3 3 b 2 2 2 2 2 b 1 1 1 ` b                   
b 3 3 3 3 3 3 3 b 2 2 2 2 2 b 1 1 1 ` b                   
b 3 3 3 3 3 3 3 b 2 2 e 2 2 b 1 1 1 s b                   
b b b b b b b b b b b b b b b b b b b b                   
                                      
start  13 18                                   
exit  13 11                                   
c 6 8  c 8 14                                
                                      
spider 1 1 V  spider 1 3 V  spider 1 5 V  spider 1 7 V  spider 1 9 V  spider 1 13 V  spider 1 18 V  spider 3 16 V
                                      
                                      
read_gems 3 BLUE 6 2 9 2 10 2 11 2 12 2 13 8 14 RED 8 2 1 2 2 2 3 2 4 2 5 2 6 2 7 6 8 COIN 1 2 18  
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0                   
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0                   
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0                   
0 3 3 3 3 3 3 3 0 2 2 2 2 2 0 1 1 1 0 0                   
0 3 3 3 3 3 3 3 0 2 2 2 2 2 0 1 1 1 0 0                   
0 3 3 3 3 3 3 3 0 2 2 2 2 2 0 1 1 1 0 0                   
0 3 3 3 3 3 3 3 0 2 2 2 2 2 0 1 1 1 0 0                   
0 3 3 3 3 3 3 3 0 2 2 2 2 2 0 1 1 1 0 0                   
0 3 3 3 3 3 3 3 0 2 2 2 2 2 0 1 1 1 0 0                   
0 3 3 3 3 3 3 3 0 2 2 2 2 2 0 1 1 1 0 0                   
0 3 3 3 3 3 3 3 0 2 2 2 2 2 0 1 1 1 0 0                   
0 3 3 3 3 3 3 3 0 2 2 2 2 2 0 1 1 1 0 0                   
0 3 3 3 3 3 3 3 0 2 2 2 2 2 0 1 1 1 0 0                   
0 3 3 3 3 3 3 3 0 2 2 0 2 2 0 1 1 1 0 0                   
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0                   
